s,label,comment
http://psi.udir.no/ontologi/kl06/laaereplanstruktur,læreplanstruktur,"curriculum property (lk20) to indicate which structure it follows (currently) either ""regular"" (structured by year level/subject) or ""module structured"" (structured by specified modules)"
http://psi.udir.no/ontologi/kl06/laaereplanstruktur,læreplanstruktur,"egenskap for læreplan (lk20) for å angi om hvilken struktur den følger (foreløpig) enten ""vanlig"" (strukturert etter årstrinn/fag) eller ""modulstrukturert"" (strukturert etter angitte moduler)"
http://psi.udir.no/ontologi/kl06/laereplan-referanse,curriculum reference,"Egenskap for ""opplaeringsfag"" for å angi kobling til læreplan (array)"
http://psi.udir.no/ontologi/kl06/laereplan-referanse,curriculum reference,"Property for ""opplaeringsfag"" (teaching subject) to indicate link to curriculum (array)"
http://psi.udir.no/ontologi/kl06/laereplan-referanse,læreplan-referanse,"Egenskap for ""opplaeringsfag"" for å angi kobling til læreplan (array)"
http://psi.udir.no/ontologi/kl06/laereplan-referanse,læreplan-referanse,"Property for ""opplaeringsfag"" (teaching subject) to indicate link to curriculum (array)"
http://psi.udir.no/ontologi/kl06/loepstype-kryssloep,"løpstype, kryssløp","Egenskap for programområde for å angi programområde som er kryssløp til dette programområdet.
Kryssløp:
Ordning som tillater valg av et Vg2-programområde som normalt krever et annet Vg1-programområde enn det en elev har fullført, eller valg av et Vg3-programområde/lærlingeløp som normalt krever et annet Vg2 enn det eleven har fullført."
http://psi.udir.no/ontologi/kl06/loepstype-kryssloep,"løpstype, kryssløp","Property for program area to specify a program area that is cross-discipline / cross-area specialization to this program area.
Cross-area specialization, Cross-discipline:
Arrangement allowing the selection of a Vg2 course that normally requires a different Vg1 course than a pupil has completed, or the selection of a Vg3 course or an apprenticeship that normally requires a different Vg2 than the pupil has completed."
http://psi.udir.no/ontologi/kl06/loepstype-kryssloep,type of educational pathway: cross-discipline / cross-area specialization,"Egenskap for programområde for å angi programområde som er kryssløp til dette programområdet.
Kryssløp:
Ordning som tillater valg av et Vg2-programområde som normalt krever et annet Vg1-programområde enn det en elev har fullført, eller valg av et Vg3-programområde/lærlingeløp som normalt krever et annet Vg2 enn det eleven har fullført."
http://psi.udir.no/ontologi/kl06/loepstype-kryssloep,type of educational pathway: cross-discipline / cross-area specialization,"Property for program area to specify a program area that is cross-discipline / cross-area specialization to this program area.
Cross-area specialization, Cross-discipline:
Arrangement allowing the selection of a Vg2 course that normally requires a different Vg1 course than a pupil has completed, or the selection of a Vg3 course or an apprenticeship that normally requires a different Vg2 than the pupil has completed."
